,Проект,,,https://www.youtube.com,
,Тестер,,,Субач Александр,
,Окружение,,,"""Windows 10 Version 22H2
 Google Версия 125.0.6422.77     ",
,,,,,
,№,Проверки (Действия),Статус прохождения,Ссылка на дефект,Комментарий
,1,Загрузка плеера,,,
,,"Проверить , что страница загружается, плеер отображается",Passed,,
,,"Убедиться,что при нажатии на видео,видео загружается,нажинается воспроизведение",Passed,,
,,,,,
,2,Проигрывание видео,,,
,,"Проверить,что видео автоматически начинается после загрузки страницы (если включен автоплей).",Passed,,
,,"Проверить,что видео начинает проигрываться после нажатия кнопки ""Play"".",Passed,,
,3,Кнопки управления воспроизведением,,,
,,"Кнопка ""Play/Pause"" работает корректно (видео ставится на паузу и возобновляется).",Passed,,
,,"Кпопка  ""Play/Pause"" при нажатии в любой части открытого окна видео срабатывает корректно",Passed,,
,,"Кнопка ""следующее видео"" переключает видео корректно",Passed,,
,4,Звук,,,
,,Ползунок громкости корректно меняет громкость,Passed,,
,,"Кнопка ""Включение/выключения звука"" срабатывает корректно ",Passed,,
,5,Буферизация и загрузка видео,,,
,,Видео буферизуется и загружается без значительных задержек.,Passed,,